+-----+---------------+-----------+
|     | Technologies  | Frequency |
+-----+---------------+-----------+
|  0  |      aws      |    60     |
|  1  |  kubernetes   |    26     |
|  2  |    apache     |    25     |
|  3  |    docker     |    24     |
|  4  |    mongodb    |    19     |
|  5  |    nodejs     |    18     |
|  6  |  postgresql   |    18     |
|  7  |    google     |    17     |
|  8  | elasticsearch |    16     |
|  9  |    github     |    16     |
| 10  |     redis     |    15     |
| 11  |     azure     |    15     |
| 12  |     mysql     |    15     |
| 13  |     nginx     |    13     |
| 14  |    python     |    13     |
| 15  |     react     |    11     |
| 16  |    jupyter    |    10     |
| 17  |     java      |     9     |
| 18  |  prometheus   |     9     |
| 19  |    kibana     |     7     |
| 20  |      ibm      |     6     |
| 21  |   ethereum    |     6     |
| 22  |    angular    |     6     |
| 23  |      ros      |     6     |
| 24  |    grafana    |     6     |
| 25  |     flask     |     6     |
| 26  |    twitter    |     6     |
| 27  |     linux     |     5     |
| 28  |  tensorflow   |     5     |
| 29  |   rabbitmq    |     5     |
| 30  |   socket.io   |     5     |
| 31  |  javascript   |     5     |
| 32  |    spring     |     5     |
| 33  |     mqtt      |     4     |
| 34  |    android    |     4     |
| 35  |     slack     |     4     |
| 36  |   raspberry   |     4     |
| 37  |    oracle     |     4     |
| 38  |   microsoft   |     4     |
| 39  |    netlify    |     3     |
| 40  |   cassandra   |     3     |
| 41  |      c++      |     3     |
| 42  |    tableau    |     3     |
| 43  |      c#       |     3     |
| 44  |    windows    |     3     |
| 45  |    heroku     |     3     |
| 46  |      sql      |     3     |
| 47  |    pytorch    |     3     |
| 48  |     redux     |     3     |
| 49  |      go       |     3     |
| 50  |  typescript   |     3     |
| 51  |     vuejs     |     3     |
| 52  |   influxdb    |     3     |
| 53  |    jenkins    |     3     |
| 54  |   rocketmq    |     2     |
| 55  |   superset    |     2     |
| 56  |    nvidia     |     2     |
| 57  |      bsc      |     2     |
| 58  |    django     |     2     |
| 59  |     .net      |     2     |
| 60  |    sqlite     |     2     |
| 61  |    twilio     |     2     |
| 62  |     html      |     2     |
| 63  |   bigquery    |     2     |
| 64  |    powerbi    |     2     |
| 65  |    watson     |     2     |
| 66  |     nats      |     2     |
| 67  |    cognos     |     2     |
| 68  |  blockchain   |     2     |
| 69  |   firestore   |     2     |
| 70  |       c       |     2     |
| 71  |    fastapi    |     2     |
| 72  |     caffe     |     2     |
| 73  |     mxnet     |     2     |
| 74  |     minio     |     2     |
| 75  |    xtypes     |     2     |
| 76  |      ios      |     2     |
| 77  |    sentry     |     2     |
| 78  |      dbt      |     2     |
| 79  |    vscode     |     1     |
| 80  |   openshift   |     1     |
| 81  |    graphql    |     1     |
| 82  |    openai     |     1     |
| 83  |      ssh      |     1     |
