Repository Name,Image URL,Stars,Contributors,Forks,Repo Commits,Language,SHA,Downloadable URL,Description,First Repo Commit Date,View Commits,View Contributors,First View Commit Date,Difference Between I View Commit and I Repo Commit
pau-minoves/jseats,https://github.com/pau-minoves/jseats/blob/master/src/site/resources/jseats_architecture.png,4,2,9,148,Java,5e6cd5492c9f8471e1bdb9fa429b1b6b1aa50f48,https://github.com/pau-minoves/jseats/blob/master/src/site/resources/jseats_architecture.png?raw=true,JSeats is a java implementation of common electoral seat allocation algorithms.,2014-09-28 20:59:56,1.0,1.0,2014-11-27 20:54:37,59.0
lowtalkers/escape-reality,https://github.com/lowtalkers/escape-reality/blob/master/diagrams/architecture1.png,5,4,7,406,JavaScript,35110955f758b6a4f804291194803d75889b9f37,https://github.com/lowtalkers/escape-reality/blob/master/diagrams/architecture1.png?raw=true,Experience 360° photos with your friends,2016-11-10 22:57:38,2.0,1.0,2016-11-20 04:28:29,9.0
kryptokrauts/ae-prediction-cards,https://github.com/kryptokrauts/ae-prediction-cards/blob/main/images/architecture.png,2,3,0,68,Java,99dae5686d1542aae88bc67a22370ec6c6a567a0,https://github.com/kryptokrauts/ae-prediction-cards/blob/main/images/architecture.png?raw=true,Akshwani Hæck: Best æ oracles based DeFI application,2021-04-20 18:02:06,1.0,1.0,2021-05-07 19:59:06,17.0
bcgov/embc-ess,https://github.com/bcgov/embc-ess/blob/r1develop/architecture-diagram.png,4,14,14,3391,C#,db1fba28152ff3e0f23ab24d71ba623d39b651d7,https://github.com/bcgov/embc-ess/blob/r1develop/architecture-diagram.png?raw=true,Emergency Management BC - Emergency Support Services Modernization,2019-02-26 00:08:55,1.0,1.0,2019-07-05 22:37:20,129.0
hyeonsangjeon/youtube-dl-nas,https://github.com/hyeonsangjeon/youtube-dl-nas/blob/master/pic/Architecture-Youtube-dl-nas.png,143,9,55,88,Python,d82ee77a462baf89bc65b617b87bfd208c9377f5,https://github.com/hyeonsangjeon/youtube-dl-nas/blob/master/pic/Architecture-Youtube-dl-nas.png?raw=true,youtube download queue websocket server with login for private NAS.,2018-09-21 10:36:03,1.0,1.0,2021-06-10 13:41:12,993.0
aikkala/user-in-the-box,https://github.com/aikkala/user-in-the-box/blob/main/figs/architecture.svg,24,2,5,439,Python,ce10467eb2b74fd7dc7067891c688f1dc2a6bc66,https://github.com/aikkala/user-in-the-box/blob/main/figs/architecture.svg?raw=true,,2021-12-13 13:48:29,1.0,1.0,2022-08-12 11:19:12,241.0
lvyahui8/http-proxy,https://github.com/lvyahui8/http-proxy/blob/master/api_platform_architecture.jpg,6,1,1,42,Java,9d52311370524ee84ac9df5ca1cf5c9bfb1fbc5b,https://github.com/lvyahui8/http-proxy/blob/master/api_platform_architecture.jpg?raw=true,Netty-based http high-performance proxy service,2018-03-30 03:47:42,1.0,1.0,2019-10-01 17:15:15,550.0
domingo1021/Bunny-code,https://github.com/domingo1021/Bunny-code/blob/main/Archives/System_architecture.png,13,1,0,420,JavaScript,5933b57c486b44c281a6214e1fcfdd74abed72fe,https://github.com/domingo1021/Bunny-code/blob/main/Archives/System_architecture.png?raw=true,Side project to create a brand new coding website (Backend),2022-08-30 09:08:27,3.0,1.0,2022-10-14 08:35:28,44.0
adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/blob/master/Snapshots/architecture.jpg,4,1,0,47,CSS,cfd5923dbda6a2c0207dc0fa927387e84c47d796,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/blob/master/Snapshots/architecture.jpg?raw=true,"An AWS-based web-application for Football enthusaists, to get round-theclock information about matches, live scores, match predictions, fixtures, results and live match screenings near them.",2019-05-26 05:32:51,1.0,1.0,2020-03-13 07:27:40,292.0
sm2774us/full_stack_interview_prep_2021,https://github.com/sm2774us/full_stack_interview_prep_2021/blob/main/full_stack/Flutter-Dart-app-and-gRPC-go-server-on-Azure-Kubernetes-Service/assets/architecture-diagram.png,2,1,1,154,HTML,06f140771a5364b42490c95ecdc05654489f41c7,https://github.com/sm2774us/full_stack_interview_prep_2021/blob/main/full_stack/Flutter-Dart-app-and-gRPC-go-server-on-Azure-Kubernetes-Service/assets/architecture-diagram.png?raw=true,,2021-07-21 22:43:46,1.0,1.0,2021-07-28 04:34:22,6.0
